Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking,Anisotropy degree
46,1.38,1.35,0.593876,-0.495293 -14.717 0,0,0,0.0199467,0.726699,0.340851,0.389834,0.0662259,0.940843,0.612098,9.15838,0,0.0335296,28.3981,23.5345,2.27838
47,1.41,1.38,0.619211,-0.499813 -14.7455 0,0,0,0.0206785,0.752275,0.348666,0.391809,0.0662145,0.964933,0.628489,9.2887,0,0.0163918,28.9555,24.1406,2.27697
48,1.44,1.41,0.644902,-0.50585 -14.7752 0,0,0,0.021452,0.778958,0.356367,0.392727,0.0660136,0.987288,0.645028,9.41111,0,0.00931888,29.363,24.7132,2.27559
49,1.47,1.44,0.671279,-0.513294 -14.8067 0,0,0,0.0222623,0.80643,0.363838,0.393258,0.0657341,1.00705,0.661312,9.52891,0,0.00861121,29.6843,25.2334,2.2742
50,1.5,1.47,0.698949,-0.521918 -14.8404 0,0,0,0.023115,0.836486,0.371035,0.394247,0.0654185,1.02358,0.676966,9.64371,0,0.00880222,29.9172,25.6938,2.27269
51,1.53,1.5,0.728678,-0.53153 -14.8767 0,0,0,0.0240051,0.868649,0.377943,0.396386,0.0650563,1.03695,0.691685,9.75354,0,0.00719089,30.1432,26.0951,2.27086
52,1.56,1.53,0.761007,-0.541622 -14.916 0,0,0,0.0249413,0.903143,0.384576,0.40016,0.0646226,1.0481,0.705278,9.85782,0,0.00425124,30.3929,26.4544,2.26934
53,1.59,1.56,0.795894,-0.551257 -14.9582 0,0,0,0.0259342,0.939356,0.390923,0.405796,0.0641147,1.05766,0.717744,9.95904,0,0.00192371,30.6366,26.7881,2.26794
54,1.62,1.59,0.832996,-0.559772 -15.0029 0,0,0,0.0269701,0.976463,0.396987,0.413336,0.0635543,1.06584,0.729194,10.0597,0,0.00189283,30.8593,27.108,2.26669
55,1.65,1.62,0.871987,-0.566736 -15.0501 0,0,0,0.0280378,1.01389,0.40276,0.422656,0.062987,1.07267,0.739797,10.1598,0,0.00622579,31.0719,27.4327,2.26578
